volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal,Price,high,low,MA_9,Prev_Close,TR,ATR_14,Position,Cash,Portfolio_Value,Daily_Return
104619449,-1,0.99179864,13.295168054,12751067609.696297,0.36038345,0.01292694,-20393.81103299081,73,1,-0.0037469425530508,73.0,-0.0001753493075321,0.0107992641417773,2024-06-04,0.0119572776158702,0.0038450735846285,1,3812.63,3834.99,3729.0,3798.6755555555555,3767.58,105.98999999999978,150.2442857142857,1,146943.2885799851,152952.8780584162,0.011957277615870288
129422084,-1,1.03002474,22.311745438,13013849795.551094,0.36308187,0.02235796,-26227.494995255314,75,1,0.0119572776158702,73.0,0.0076450262916111,0.0099623005829482,2024-06-05,0.0147247438120141,0.0207123324982457,1,3868.77,3889.97,3778.92,3795.994444444444,3812.63,111.04999999999973,146.81214285714282,1,146943.2885799851,155205.0700031366,0.014724743812014163
101027533,-1,0.91057059,23.253144115,12666493383.915625,0.35652448,0.01858911,50220.79356309964,78,0,0.0147247438120141,75.0,0.0042094863948624,0.0158766786972757,2024-06-06,-0.0140535622432969,-0.0101594221970131,-1,3814.4,3882.47,3758.64,3792.815555555556,3868.77,123.82999999999993,125.15642857142855,1,146943.2885799851,153023.8858913723,-0.01405356224329668
192739650,-1,0.87424876,20.070499691,12116077388.19644,0.35340778,0.02148837,-1659.455480509729,77,-1,-0.0140535622432969,78.0,-0.0115902758864902,0.0251739272344597,2024-06-07,-0.0354420092281879,-0.0280034437082761,-1,3679.21,3843.61,3578.01,3783.282222222222,3814.4,265.5999999999999,129.67642857142852,1,146943.2885799851,147600.4119154771,-0.035442009228187965
49261456,-1,0.95168196,10.447513187,12102443378.381908,0.3528735,0.01547662,5468.999842877762,72,-1,-0.0354420092281879,77.0,-0.0162892397655657,0.018138561571832,2024-06-08,0.0006278521747875,-0.0129538400349797,-1,3681.52,3709.92,3662.4,3775.77,3679.21,47.51999999999998,128.00642857142853,1,146943.2885799851,147693.08315509776,0.0006278521747875576
38229043,-1,1.05351623,9.954544276,12245378354.729652,0.35516558,0.01197166,-8620.756886394229,75,-1,0.0006278521747875,72.0,-0.0093339178269876,0.0228207470617771,2024-06-09,0.0068124035724375,0.0122556468162985,1,3706.6,3723.0,3667.38,3769.726666666667,3681.52,55.61999999999989,120.9664285714285,1,146943.2885799851,148699.22804240783,0.006812403572437287
67205183,-1,0.97584728,13.600129963,12059067806.501272,0.3537978,0.01094365,-18235.322499935573,72,0,0.0068124035724375,75.0,-0.0010451580106958,0.0088139671927632,2024-06-10,-0.0105757297793125,-0.0007267634229676,0,3667.4,3715.09,3645.0,3753.317777777778,3706.6,70.09000000000015,114.79928571428562,1,146943.2885799851,147126.62518823898,-0.010575729779312426
135609656,-1,0.93097978,17.060548399,10978061319.427605,0.34310238,0.0107559,-16487.637207418913,70,-1,-0.0105757297793125,72.0,-0.0193408247924136,0.0314651199903956,2024-06-13,-0.054259148170366,-0.0315990086989349,-1,3468.41,3560.69,3426.95,3718.502222222222,3667.4,240.45000000000027,120.52428571428565,0,139143.65983234442,139143.65983234442,-0.05425914817036592
150167931,-1,0.97580132,12.954823276,11189141066.785925,0.34946257,0.01158228,-45745.84378590103,74,-1,-0.054259148170366,70.0,-0.0204410607962961,0.0301224362130356,2024-06-14,0.0035116955607901,-0.0079846621381381,-1,3480.59,3530.0,3360.0,3686.6144444444444,3468.41,170.0,122.30428571428567,-1,139143.65983234442,139143.65983234442,0.0
79707979,-1,1.04374516,6.920378392,11941905406.581636,0.36346874,0.0085545,8574.28475244515,74,1,0.0035116955607901,74.0,-0.0086978621515666,0.0408487568002073,2024-06-15,0.024653866154876,0.0231854075332246,1,3566.4,3591.49,3472.0,3659.255555555556,3480.59,119.48999999999978,121.91285714285709,-1,139143.65983234442,135795.76911615627,-0.02406067743382667
