volume,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Funding Rates,Estimated Leverage Ratio,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
12847150,-1,0.99999974,1.83251774,16181119365.11926,0.0006583916666666,0.18356245,-23673.216063190004,33,1,0.0397321290200245,26.0,0.021135595016297776,0.016167034269029348,2024-09-10,0.0104232242904613,0.011037324698304658,Buy
17414302,-1,0.96843038,1.82322302,16028443783.53895,0.00032086,0.18355586,-5569.88687011,37,-1,0.0104232242904613,33.0,0.015007266446539207,0.02278140600196436,2024-09-11,-0.0051335539708682,-0.007204393109319035,Sell
13360467,-1,1.03761057,1.84762353,16364108185.683529,-0.0007186733333333,0.18468097,2795.830990090006,31,-1,-0.0051335539708682,37.0,0.006317947286835407,0.010048810654074444,2024-09-12,0.0136641715409131,0.012733317119767058,Buy
13050494,0,1.06557489,1.92233771,17587979237.03474,-0.002835775,0.19124133,-3002.176565349997,32,1,0.0136641715409131,31.0,0.016631562952500237,0.023390411443752892,2024-09-13,0.0413640712874558,0.027543414165607957,Buy
6407756,0,0.9316724,1.9044314,17140494040.247375,0.0014431566666666,0.18830957,-1634.8763242599998,50,1,0.0413640712874558,32.0,0.015429826756292203,0.02509804063325287,2024-09-14,-0.0087387625594923,-0.009416867888815808,Sell
7817501,0,0.95891233,1.8762374,16696517627.973911,0.0037330249999999,0.18591443,1163.7816253700005,51,0,-0.0087387625594923,50.0,0.005936497877690139,0.030831272438187722,2024-09-15,-0.0148158150948931,-0.004470280255851183,Sell
13157633,0,0.98260111,1.84684422,16192064103.832611,0.0033505066666666,0.18275307,4308.295945530001,39,-1,-0.0148158150948931,51.0,-0.012987931698082858,0.003691830218471796,2024-09-16,-0.0154092174398632,-0.007802559231840019,Sell
17299381,0,1.04267411,1.91222362,16976702665.983822,0.0042488366666666,0.18505925,595.3238681000003,33,1,-0.0154092174398632,39.0,0.002005650643912274,0.029651019321334418,2024-09-17,0.0362419844664931,0.022182957316970352,Buy
17677457,0,1.00554317,1.95698962,17418269248.94646,0.0055023466666666,0.18508173,933.8830327499963,45,0,0.0362419844664931,33.0,0.01500107635779394,0.02701888025117696,2024-09-18,0.0241704620467519,0.010804506302576445,Buy
17389946,0,1.04505406,1.99189092,18224313519.217068,0.00749156,0.19097051,-856.3913398700024,49,1,0.0241704620467519,45.0,0.026587695045920307,0.008701244314321418,2024-09-19,0.0193506386245159,0.02748521136551914,Buy
13823714,0,0.98302884,1.99657948,17826713811.134796,0.0083997116666666,0.18589955,-838.7300623999981,54,0,0.0193506386245159,49.0,0.015794934490393778,0.010610060871376642,2024-09-20,0.0038637027999135,0.0019125017506677004,Buy
4182152,0,1.02950006,2.00084639,17962564873.429493,0.00710843,0.18648477,3281.18299062,54,1,0.0038637027999135,54.0,0.008537843714665443,0.009392741876709328,2024-09-21,0.0023991897195669,0.01789992308254984,Buy
7595684,0,1.0188408,2.00672376,17789530364.62654,0.0049579783333333,0.18387409,1485.73255712,52,1,0.0023991897195669,54.0,0.0032390958527623425,0.0007556222239046198,2024-09-22,0.0034543950388066,0.011864004606448446,Buy
12940858,0,0.97452319,1.99663764,17911545726.82074,0.0044413083333333,0.18523719,4961.489689889997,50,1,0.0034543950388066,52.0,0.0006285268430640424,0.004015524622017127,2024-09-23,-0.0039680042291814,-0.0012493740438190297,Sell
14833038,0,1.00453152,2.02486386,18576641670.99895,0.00455067,0.19033104,-6966.18847537,54,1,-0.0039680042291814,50.0,0.004722998978890376,0.00938979944581077,2024-09-24,0.0146826061270459,0.011952138460941853,Buy
9418919,0,0.95673484,1.98658762,18163108641.624622,0.0056464683333333,0.1894955,-1813.96965508,59,0,0.0146826061270459,54.0,-0.002308892857965991,0.01622568639903191,2024-09-25,-0.0176412804717625,-0.007303883431446989,Sell
17261802,0,1.04927818,2.04796192,18773328959.42121,0.003359325,0.19022122,-3539.0575015299983,50,1,-0.0176412804717625,59.0,0.009850112922956141,0.025421993029654713,2024-09-26,0.032509013113585,0.026502038659517953,Buy
