Datetime,Gas Price (Mean)
2019-06-15T00:00:00Z,16.621128284
2019-06-14T00:00:00Z,14.48865618
2019-06-13T00:00:00Z,12.462441565
2019-06-12T00:00:00Z,10.687904409
2019-06-11T00:00:00Z,15.286063573
2019-06-10T00:00:00Z,18.736590066
2019-06-09T00:00:00Z,11.736547598
2019-06-08T00:00:00Z,17.833977397
2019-06-07T00:00:00Z,13.536408979
2019-06-06T00:00:00Z,12.763037623
2019-06-05T00:00:00Z,14.714206624
2019-06-04T00:00:00Z,14.314676698
2019-06-03T00:00:00Z,13.621925374
2019-06-02T00:00:00Z,10.826467027
2019-06-01T00:00:00Z,13.486479706
2019-05-31T00:00:00Z,15.858668907
2019-05-30T00:00:00Z,17.350696741
2019-05-29T00:00:00Z,16.588407346
2019-05-28T00:00:00Z,15.107046577
2019-05-27T00:00:00Z,14.6925338
2019-05-26T00:00:00Z,10.765444799
2019-05-25T00:00:00Z,12.097498199
2019-05-24T00:00:00Z,15.042266916
2019-05-23T00:00:00Z,14.454854614
2019-05-22T00:00:00Z,16.397753343
2019-05-21T00:00:00Z,12.938880344
2019-05-20T00:00:00Z,15.506866617
2019-05-19T00:00:00Z,14.010637942
2019-05-18T00:00:00Z,14.695791113
2019-05-17T00:00:00Z,18.17603425
2019-05-16T00:00:00Z,20.964198058
2019-05-15T00:00:00Z,16.256626443
2019-05-14T00:00:00Z,13.324170897
2019-05-13T00:00:00Z,13.655220194
2019-05-12T00:00:00Z,10.808762189
2019-05-11T00:00:00Z,10.883175281
2019-05-10T00:00:00Z,11.358309469
2019-05-09T00:00:00Z,10.629145316
2019-05-08T00:00:00Z,10.961776251
2019-05-07T00:00:00Z,12.553479115
2019-05-06T00:00:00Z,10.575197237
2019-05-05T00:00:00Z,9.671345586
2019-05-04T00:00:00Z,10.066498232
2019-05-03T00:00:00Z,10.976179678
2019-05-02T00:00:00Z,40.341264571
2019-05-01T00:00:00Z,9.759507361
2019-04-30T00:00:00Z,10.086150999
2019-04-29T00:00:00Z,10.29962109
2019-04-28T00:00:00Z,9.363974399
2019-04-27T00:00:00Z,9.606611204
2019-04-26T00:00:00Z,12.0530191
2019-04-25T00:00:00Z,10.495381233
2019-04-24T00:00:00Z,12.100633453
2019-04-23T00:00:00Z,11.214008799
2019-04-22T00:00:00Z,10.727955034
2019-04-21T00:00:00Z,9.475838125
2019-04-20T00:00:00Z,8.972528638
2019-04-19T00:00:00Z,11.015536489
2019-04-18T00:00:00Z,11.899445743
2019-04-17T00:00:00Z,11.247466002
2019-04-16T00:00:00Z,10.722255079
2019-04-15T00:00:00Z,10.545604319
2019-04-14T00:00:00Z,10.321563355
2019-04-13T00:00:00Z,10.59819809
2019-04-12T00:00:00Z,11.627414485
2019-04-11T00:00:00Z,12.460278247
2019-04-10T00:00:00Z,15.176978195
2019-04-09T00:00:00Z,11.997807263
2019-04-08T00:00:00Z,12.491420246
2019-04-07T00:00:00Z,11.287108181
2019-04-06T00:00:00Z,10.710997658
2019-04-05T00:00:00Z,11.802153034
2019-04-04T00:00:00Z,13.670289736
2019-04-03T00:00:00Z,16.724789806
2019-04-02T00:00:00Z,13.831753794
2019-04-01T00:00:00Z,12.504161044
2019-03-31T00:00:00Z,10.506785001
2019-03-30T00:00:00Z,10.372174778
2019-03-29T00:00:00Z,12.522004706
2019-03-28T00:00:00Z,12.169523606
2019-03-27T00:00:00Z,13.538110999
2019-03-26T00:00:00Z,13.016325389
2019-03-25T00:00:00Z,12.489367039
2019-03-24T00:00:00Z,10.956875286
2019-03-23T00:00:00Z,10.946080955
2019-03-22T00:00:00Z,12.524493041
2019-03-21T00:00:00Z,13.795593837
2019-03-20T00:00:00Z,12.113517346
2019-03-19T00:00:00Z,13.048876404
2019-03-18T00:00:00Z,194.266686359
2019-03-17T00:00:00Z,14.443740238
2019-03-16T00:00:00Z,10.30927481
2019-03-15T00:00:00Z,10.940212076
2019-03-14T00:00:00Z,10.989696264
2019-03-13T00:00:00Z,11.624837408
2019-03-12T00:00:00Z,12.158684765
2019-03-11T00:00:00Z,12.399324153
2019-03-10T00:00:00Z,11.983551088
2019-03-09T00:00:00Z,11.860783671
2019-03-08T00:00:00Z,13.375275525
2019-03-07T00:00:00Z,13.606205052
2019-03-06T00:00:00Z,13.941269746
2019-03-05T00:00:00Z,13.416451614
2019-03-04T00:00:00Z,12.586925299
2019-03-03T00:00:00Z,11.963576046
2019-03-02T00:00:00Z,12.055153414
2019-03-01T00:00:00Z,12.927381011
2019-02-28T00:00:00Z,18.828795385
2019-02-27T00:00:00Z,16.333133968
2019-02-26T00:00:00Z,17.411522199
2019-02-25T00:00:00Z,17.016748385
2019-02-24T00:00:00Z,16.250710476
2019-02-23T00:00:00Z,14.038665093
2019-02-22T00:00:00Z,14.906500367
2019-02-21T00:00:00Z,15.301279312
2019-02-20T00:00:00Z,16.071353124
2019-02-19T00:00:00Z,373.537415906
2019-02-18T00:00:00Z,17.06634536
2019-02-17T00:00:00Z,13.729254463
2019-02-16T00:00:00Z,13.479449378
2019-02-15T00:00:00Z,14.73246882
2019-02-14T00:00:00Z,19.107069178
2019-02-13T00:00:00Z,13.681955216
2019-02-12T00:00:00Z,12.998438368
2019-02-11T00:00:00Z,13.9439202
2019-02-10T00:00:00Z,12.843661007
2019-02-09T00:00:00Z,12.363600589
2019-02-08T00:00:00Z,13.284437648
2019-02-07T00:00:00Z,14.024837997
2019-02-06T00:00:00Z,12.572180915
2019-02-05T00:00:00Z,12.551502885
2019-02-04T00:00:00Z,12.038176844
2019-02-03T00:00:00Z,11.599425759
2019-02-02T00:00:00Z,11.945272142
2019-02-01T00:00:00Z,13.213020382
2019-01-31T00:00:00Z,14.185099543
2019-01-30T00:00:00Z,13.03959402
2019-01-29T00:00:00Z,12.41960579
2019-01-28T00:00:00Z,15.188267293
2019-01-27T00:00:00Z,11.769278879
2019-01-26T00:00:00Z,12.589133944
2019-01-25T00:00:00Z,13.840439479
2019-01-24T00:00:00Z,14.353232108
2019-01-23T00:00:00Z,13.263803398
2019-01-22T00:00:00Z,18.531220648
2019-01-21T00:00:00Z,13.502669873
2019-01-20T00:00:00Z,12.337688743
2019-01-19T00:00:00Z,12.391011087
2019-01-18T00:00:00Z,14.354716513
2019-01-17T00:00:00Z,13.57736839
2019-01-16T00:00:00Z,20.583948506
2019-01-15T00:00:00Z,18.382479128
2019-01-14T00:00:00Z,19.170497164
2019-01-13T00:00:00Z,12.292233182
2019-01-12T00:00:00Z,12.173815219
2019-01-11T00:00:00Z,13.623596489
2019-01-10T00:00:00Z,15.353317538
2019-01-09T00:00:00Z,13.513810184
2019-01-08T00:00:00Z,13.657909934
2019-01-07T00:00:00Z,15.720058234
2019-01-06T00:00:00Z,13.41578899
2019-01-05T00:00:00Z,24.104750528
2019-01-04T00:00:00Z,14.181969584
2019-01-03T00:00:00Z,12.695043341
2019-01-02T00:00:00Z,13.499521218
2019-01-01T00:00:00Z,14.315142889
2018-12-31T00:00:00Z,13.839979115
2018-12-30T00:00:00Z,15.842003374
2018-12-29T00:00:00Z,12.978779033
2018-12-28T00:00:00Z,14.133198816
2018-12-27T00:00:00Z,13.523116614
2018-12-26T00:00:00Z,24.450231579
2018-12-25T00:00:00Z,14.749284343
2018-12-24T00:00:00Z,16.597452985
